City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gushu,31.5598,118.4829,302.14,77,100,3.75,CN,1690075911
1,howard springs,-12.497,131.047,299.16,25,46,6.3,AU,1690075911
2,cheyenne,41.14,-104.8203,299.23,36,0,2.06,US,1690075911
3,nuku'alofa,-21.1333,-175.2,296.3,79,22,7.45,TO,1690075912
4,waitangi,-43.9535,-176.5597,284.72,97,100,5.81,NZ,1690075912
5,magistral'nyy,56.1725,107.4458,298.73,41,15,1.22,RU,1690075912
6,port-aux-francais,-49.35,70.2167,276.17,96,97,9.31,TF,1690075912
7,invercargill,-46.4,168.35,282.49,88,98,3.2,NZ,1690075912
8,puerto ayora,-0.7393,-90.3518,297.6,78,33,4.87,EC,1690075912
9,adamstown,-25.066,-130.1015,294.08,65,0,4.97,PN,1690075912
10,kidal,18.4411,1.4078,305.84,33,3,5.25,ML,1690075913
11,albany,42.6001,-73.9662,292.16,80,11,2.61,US,1690075913
12,adampur,31.4328,75.7175,300.32,91,100,1.71,IN,1690075913
13,ushuaia,-54.8,-68.3,271.96,74,20,5.14,AR,1690075913
14,grytviken,-54.2811,-36.5092,268.16,79,19,4.24,GS,1690075913
15,thompson,55.7435,-97.8558,289.24,55,75,3.6,CA,1690075913
16,east london,-33.0153,27.9116,288.75,77,7,4.8,ZA,1690075913
17,wailua homesteads,22.0669,-159.378,301.59,77,20,6.69,US,1690075914
18,bredasdorp,-34.5322,20.0403,284.03,89,100,2.61,ZA,1690075914
19,hawaiian paradise park,19.5933,-154.9731,302.44,83,20,5.14,US,1690075914
20,west island,-12.1568,96.8225,298.14,83,75,6.69,CC,1690075914
21,petropavlovsk-kamchatsky,53.0452,158.6483,294.48,56,75,2.0,RU,1690075844
22,bodaybo,57.8506,114.1933,299.16,54,18,0.69,RU,1690075914
23,rio gallegos,-51.6226,-69.2181,268.18,93,75,6.69,AR,1690075914
24,bikin,46.8161,134.26,296.89,76,100,1.01,RU,1690075915
25,nagqu,31.5,92.0,283.33,64,89,3.2,CN,1690075915
26,remire-montjoly,4.9167,-52.2667,298.17,100,40,0.0,GF,1690075915
27,karratha,-20.7377,116.8463,293.55,23,0,12.27,AU,1690075915
28,shendi,16.6915,33.4341,305.17,39,11,9.39,SD,1690075915
29,olonkinbyen,70.9221,-8.7187,278.42,80,100,3.62,SJ,1690075915
30,vila franca do campo,37.7167,-25.4333,292.38,78,3,1.16,PT,1690075915
31,bilibino,68.0546,166.4372,301.04,33,94,5.03,RU,1690075915
32,port elizabeth,-33.918,25.5701,285.31,76,0,5.14,ZA,1690075916
33,yellowknife,62.456,-114.3525,294.44,32,100,3.09,CA,1690075322
34,chinde,26.8418,88.0763,295.81,79,73,1.35,NP,1690075916
35,selfoss,63.9331,-20.9971,285.4,87,83,1.87,IS,1690075916
36,letlhakeng,-24.0944,25.0298,283.2,90,1,3.26,BW,1690075916
37,lata,40.1629,-8.3327,290.82,98,24,0.65,PT,1690075916
38,saint-mandrier-sur-mer,43.078,5.929,298.58,67,0,0.89,FR,1690075916
39,flying fish cove,-10.4217,105.6791,297.97,88,100,4.12,CX,1690075917
40,shirgaon,19.7,72.7,299.95,89,100,6.27,IN,1690075917
41,pad idan,26.7748,68.302,307.27,54,100,3.62,PK,1690075917
42,alice springs,-23.7,133.8833,284.9,58,40,8.23,AU,1690075843
43,constantia,44.1833,28.65,297.53,71,1,4.96,RO,1690075917
44,arraial do cabo,-22.9661,-42.0278,293.81,87,0,9.23,BR,1690075917
45,margaret river,-33.95,115.0667,287.9,70,26,4.78,AU,1690075917
46,iqaluit,63.7506,-68.5145,282.0,81,75,3.09,CA,1690075812
47,hermanus,-34.4187,19.2345,283.04,75,100,4.37,ZA,1690075918
48,ust-nera,64.5667,143.2,290.48,56,78,1.5,RU,1690075918
49,ribeira grande,38.5167,-28.7,293.58,85,15,1.79,PT,1690075918
50,kitimat,54.0524,-128.6534,289.36,72,100,2.68,CA,1690075918
51,dudinka,69.4058,86.1778,290.89,84,91,5.06,RU,1690075918
52,alofi,-19.0595,-169.9187,300.09,74,41,5.14,NU,1690075918
53,ilulissat,69.2167,-51.1,278.16,100,100,3.09,GL,1690075918
54,nabire,-3.3667,135.4833,301.18,74,100,2.0,ID,1690075919
55,puerto natales,-51.7236,-72.4875,268.56,92,43,1.5,CL,1690075919
56,weno,7.4515,151.8468,302.12,89,100,2.06,FM,1690075919
57,anadyr,64.75,177.4833,288.15,77,75,6.71,RU,1690075919
58,galle,6.0367,80.217,300.45,84,35,6.38,LK,1690075919
59,bani mazar,28.5036,30.8004,300.92,55,0,6.49,EG,1690075919
60,ha tien,10.3833,104.4833,300.91,81,98,7.72,VN,1690075920
61,formosa do rio preto,-11.0483,-45.1931,293.17,66,11,2.01,BR,1690075920
62,mar del plata,-38.0023,-57.5575,284.79,90,0,5.81,AR,1690075790
63,sussex,41.1834,-74.6663,295.54,74,0,0.45,US,1690075920
64,isafjordur,66.0755,-23.124,283.94,85,100,0.26,IS,1690075920
65,mwingi,-0.9344,38.0601,291.83,79,96,3.14,KE,1690075920
66,kodiak,57.79,-152.4072,284.88,82,0,2.57,US,1690075920
67,zima,53.9202,102.0442,295.4,50,17,3.14,RU,1690075920
68,zemio,5.0314,25.1361,292.71,97,100,0.38,CF,1690075920
69,taulaga,-11.0553,-171.0883,301.27,71,6,1.29,AS,1690075921
70,new norfolk,-42.7826,147.0587,286.32,58,97,2.44,AU,1690075921
71,douz,33.4663,9.0203,304.6,17,0,3.81,TN,1690075921
72,dunedin,-45.8742,170.5036,282.48,91,100,4.12,NZ,1690075921
